,words,出現回数
0,前編,84
1,後編,83
2,コロナ,67
3,笑い,54
4,飯,54
5,教室,52
6,記者,50
7,しんぶん,50
8,世界,49
9,平,44
10,首相,39
11,政治,34
12,人,32
13,月,27
14,社会,24
15,女性,23
16,時代,23
17,政権,22
18,新聞,21
19,歴史,20
20,子ども,18
21,理由,17
22,ネット,17
23,言葉,17
24,裏,16
25,ポキ,16
26,現場,15
27,事件,15
28,心,15
29,五輪,14
30,月刊,14
31,自分,13
32,国,13
33,仏教,13
34,オリンピック,12
35,トランプ,12
36,謎,12
37,未来,12
38,楽屋裏,12
39,坊さん,12
40,宗教,12
41,大統領,11
42,郵便,11
43,サイバー,11
44,経済,10
45,知事,10
46,命,10
47,トップ,10
48,ビジネス,10
49,核,10
50,現実,10
51,事情,10
52,夢,10
53,映画,10
54,島,10
55,道,10
56,影,9
57,舞台裏,9
58,気,9
59,サッカー,9
60,市民,9
61,ゲーム,9
62,情報,9
63,僧侶,9
64,お寺,9
65,顔,9
66,プーチン,8
67,人気,8
68,記事,8
69,暴力,8
70,維新,8
71,人間,8
72,舞台,8
73,性,8
74,ポッドキャスト,8
75,声,8
76,外交,8
77,宇宙,8
78,人生,8
79,スポーツ,8
80,親,8
81,女子,8
82,政策,8
83,選手,8
84,目,8
85,物語,8
86,写真,8
87,フィギュア,8
88,政府,7
89,人事,7
90,日常,7
91,素顔,7
92,議員,7
93,動物,7
94,ペット,7
95,メディア,7
96,価値,7
97,夫婦,7
98,家族,7
99,子,7
100,先,7
101,男性,7
102,危機,7
103,企業,7
104,音声,7
105,耳,7
106,国際,7
107,局長,7
108,愛,7
109,核兵器,7
110,スター,7
111,大震災,7
112,火災,7
113,学校,7
114,わし,7
115,データ,6
116,病院,6
117,都知事,6
118,本当,6
119,夫,6
120,マンション,6
121,衝撃,6
122,次,6
123,男,6
124,海外,6
125,実態,6
126,背景,6
127,マスク,6
128,別姓,6
129,ツイッター,6
130,陰謀,6
131,家,6
132,リーダー,6
133,花,6
134,姿,6
135,争い,6
136,遺産,6
137,ニュース,6
138,地方,6
139,委員,6
140,科学,6
141,ローン,6
142,先生,6
143,街,6
144,ビル,6
145,猫,6
146,文化,6
147,身,6
148,中学,6
149,本,6
150,活,6
151,事故,6
152,春,6
153,Q,6
154,ニーズ,6
155,光,6
156,カルト,6
157,闇,5
158,上司,5
159,総裁,5
160,母,5
161,教授,5
162,SNS,5
163,立憲,5
164,vs,5
165,冬,5
166,グランプリ,5
167,裏側,5
168,怒り,5
169,高校,5
170,最大,5
171,場所,5
172,恩,5
173,幹部,5
174,リケジョ,5
175,魅力,5
176,聖地,5
177,カメラ,5
178,吹奏楽,5
179,紙面,5
180,力,5
181,中編,5
182,相撲,5
183,業界,5
184,理想,5
185,空,5
186,伝統,5
187,世代,5
188,方言,5
189,酒,5
190,ルール,5
191,鉄道,5
192,若者,5
193,基地,5
194,格差,5
195,マンガ,5
196,日本一,5
197,婚,5
198,遺跡,5
199,リスナー,5
200,縁,5
201,イベント,5
202,物価,5
203,バスケ,5
204,ふるさと,5
205,ジャ,5
206,医師,4
207,ロボット,4
208,外,4
209,責任,4
210,答え,4
211,笑顔,4
212,血,4
213,現状,4
214,権利,4
215,一つ,4
216,動画,4
217,国会,4
218,派閥,4
219,シナリオ,4
220,地震,4
221,バイデン,4
222,ナンバー,4
223,バブル,4
224,国民,4
225,家事,4
226,生命,4
227,専門,4
228,地獄,4
229,漫才,4
230,システム,4
231,テレビ,4
232,菌,4
233,本質,4
234,狙い,4
235,民主,4
236,野党,4
237,大臣,4
238,学生,4
239,社長,4
240,トラ,4
241,市場,4
242,優等生,4
243,主義,4
244,原発,4
245,横綱,4
246,鬼,4
247,大相撲,4
248,敵,4
249,アレ,4
250,ワクチン,4
251,きっかけ,4
252,死,4
253,能力,4
254,お金,4
255,町,4
256,雪,4
257,ジェンダー,4
258,名前,4
259,カギ,4
260,条約,4
261,給料,4
262,原爆,4
263,暮らし,4
264,テロ,4
265,ススメ,4
266,背中,4
267,障害,4
268,若手,4
269,総理,4
270,自宅,4
271,コラボ,4
272,仏像,4
273,マッチョ,4
274,革命,4
275,葛藤,4
276,現代,4
277,大関,4
278,鉄,4
279,パリピ,4
280,迷い,4
281,博物館,4
282,教会,4
283,城,4
284,水中,4
285,思い,4
286,木製,4
287,業者,4
288,G,4
289,恐竜,4
290,ボス,3
291,効果,3
292,水,3
293,最後,3
294,官邸,3
295,標的,3
296,菅,3
297,逆境,3
298,村,3
299,芸術,3
300,場,3
301,行方,3
302,コンビニ,3
303,戦い,3
304,真実,3
305,見どころ,3
306,大国,3
307,異例,3
308,重圧,3
309,箱,3
310,ホーム,3
311,小学校,3
312,文,3
313,限界,3
314,起源,3
315,キャップ,3
316,コミュニケーション,3
317,職場,3
318,歌,3
319,文書,3
320,生理,3
321,会長,3
322,カネ,3
323,ハードル,3
324,構造,3
325,国防,3
326,暗雲,3
327,難民,3
328,習近,3
329,戦略,3
330,金融,3
331,農家,3
332,野菜,3
333,アノン,3
334,震災,3
335,滅,3
336,ゲスト,3
337,思い出,3
338,名,3
339,組合,3
340,おもちゃ,3
341,和,3
342,ラン,3
343,色,3
344,デジタル,3
345,辻,3
346,青年,3
347,ページビュー,3
348,奴隷,3
349,作戦,3
350,レシピ,3
351,議会,3
352,熱気,3
353,ターニングポイント,3
354,サバイバル,3
355,思惑,3
356,内部,3
357,フィルム,3
358,傘,3
359,デスク,3
360,国家,3
361,犠牲,3
362,顧客,3
363,タリバン,3
364,何者,3
365,夏休み,3
366,人権,3
367,ひとり,3
368,テーマ,3
369,時計,3
370,電車,3
371,番組,3
372,高校生,3
373,オンライン,3
374,TALK,3
375,悩み,3
376,個人,3
377,本気,3
378,工場,3
379,食,3
