,words,出現回数
0,日本,70
1,哲夫,54
2,中国,43
3,吉,43
4,弥,43
5,アメリカ,28
6,東京,23
7,京都,23
8,沖縄,22
9,ウクライナ,17
10,岸田,15
11,ロシア,14
12,菅,14
13,大阪,14
14,ベトナム,12
15,広島,12
16,自民党,11
17,リアル,11
18,アフガン,11
19,安倍,10
20,朝日新聞,10
21,米,10
22,韓国,10
23,関西,10
24,台湾,9
25,愛知,9
26,小池,8
27,インド,8
28,ヒロシマ,8
29,徳川,8
30,阪神,8
31,衆院,7
32,香港,7
33,ミャンマー,7
34,自衛隊,7
35,家康,7
36,シンガポール,6
37,スマ,6
38,日,6
39,敬,6
40,坪井,6
41,直,6
42,源,6
43,名古屋,6
44,イギリス,5
45,ニッポン,5
46,ドイツ,5
47,民主党,5
48,文雄,5
49,平,5
50,福島,5
51,欧州,5
52,長崎,5
53,藤井,5
54,寂聴,5
55,原,5
56,露,5
57,団,5
58,姫,5
59,那覇,5
60,北方領土,5
61,参院,5
62,サンフランシスコ,5
63,甲子園,5
64,平等院,5
65,武漢,4
66,義,4
67,シリア,4
68,永田町,4
69,ハリウッド,4
70,北海道,4
71,フランス,4
72,常見,4
73,北朝鮮,4
74,中村,4
75,哲,4
76,弥生,4
77,聡,4
78,太,4
79,白,4
80,鵬,4
81,広,4
82,シン,4
83,愛,4
84,イラン,4
85,鎌倉,4
86,頼朝,4
87,太郎,4
88,北関東,4
89,AI,4
90,モスクワ,3
91,ブラジル,3
92,アベノマスク,3
93,トルコ,3
94,朝日,3
95,稲田,3
96,朋美,3
97,野田,3
98,聖子,3
99,ロンドン,3
100,吉村,3
101,ノーベル,3
102,石破,3
103,茂,3
104,久保,3
105,パリ,3
106,中,3
107,SNS,3
108,トヨタ,3
109,照,3
110,富士,3
111,陽平,3
112,正,3
113,辺野古,3
114,岡山,3
115,ソ連,3
116,林,3
117,ABC,3
118,アフガニスタン,3
119,南極,3
120,イスラエル,3
121,津田,3
122,大介,3
123,MEDIA,3
124,上海,3
125,自民,3
126,韓,3
127,ロスジェネ,3
128,M,3
129,桑原,3
130,征,3
131,北新地,3
132,琵琶湖,3
133,北京,3
134,ラオス,3
135,北条,3
136,ブッダガヤ,3
137,加藤,3
138,ボーイング,3
139,堀江,3
140,謙一,3
141,板垣,3
142,藤原,3
143,日銀,3
144,有朋,3
145,羽生,3
146,高知,3
147,朝日新聞社,3
148,桃子,3
149,イタリア,2
150,マフィア,2
151,プーチン,2
152,創価学会,2
153,霞が関,2
154,英,2
155,米国,2
156,公明,2
157,長友,2
158,南野,2
159,メキシコ,2
160,オーストラリア,2
161,豪州,2
162,センチュリー,2
163,モヤ,2
164,小沢,2
165,VS,2
166,小泉,2
167,Youtube,2
168,金,2
169,大輔,2
170,財務省,2
171,フィンランド,2
172,清美,2
173,巨人,2
174,公明党,2
175,パレスチナ,2
176,クラ,2
177,高木,2
178,晋,2
179,村上,2
180,春樹,2
181,東畑,2
182,開,2
183,峯村,2
184,健司,2
185,LINE,2
186,熱海,2
187,オリックス,2
188,慶喜,2
189,SDGs,2
190,竹下,2
191,隆一郎,2
192,江戸,2
193,瀬戸内,2
194,朝鮮,2
195,真珠湾,2
196,比叡山,2
197,三国志,2
198,自社,2
199,炭,2
200,治郎,2
201,タカラヅカ,2
202,大正,2
203,マック,2
204,阪神タイガース,2
205,星野,2
206,連合,2
207,フィリピン,2
208,仏,2
209,六郎,2
210,高松,2
211,Moment,2
212,野茂,2
213,Hip,2
214,東大,2
215,本郷,2
216,HipHop,2
217,Z,2
218,ロ,2
219,西成,2
220,タカラジェンヌ,2
221,東南アジア,2
222,退助,2
223,滋賀,2
224,山元,2
225,タイ,2
226,彦根城,2
227,秀吉,2
228,太平洋,2
229,信長,2
230,岡本,2
231,山県,2
232,茨城,2
233,隆一,2
234,村井,2
235,和歌山,2
236,京,2
237,ジャパン,2
238,寺東,2
239,神戸,2
240,薬師寺,2
241,東日本,2
242,oVice,2
243,親鸞,2
244,文化庁,2
245,鳳凰堂,2
246,高槻,2
247,道頓堀,2
248,マイ,2
249,真鍋,2
250,香川,2
251,関東大震災,2
252,石清水八幡宮,2
253,菊池,2
254,哲司,2
255,ニューヨーク,1
256,NY,1
257,ローマ,1
258,欧米,1
259,SIM,1
260,ヨハネスブルク,1
261,南アフリカ,1
262,ベネズエラ,1
263,PCR,1
264,イスタンブール,1
265,コロナ,1
266,英国,1
267,南北戦争,1
268,大坂,1
269,なおみ,1
270,BLM,1
271,ジョー,1
272,バイデン,1
273,キン肉マン,1
274,セルビア,1
275,浅野,1
276,拓磨,1
277,佑,1
278,拓実,1
279,建,1
280,タケ,1
281,パナマ,1
282,吉田,1
283,原口,1
284,司法省,1
285,ニュージーランド,1
286,健二,1
287,筒美,1
288,京平,1
289,スゴ,1
290,ギグワーカー,1
291,UberEats,1
292,豪,1
293,純一郎,1
294,パンドラ,1
295,百合子,1
296,Huawei,1
297,DX,1
298,寿都,1
299,周,1
300,ワシントン,1
301,天安門,1
302,バッハ,1
303,IOC,1
304,ノウカノタネ,1
305,ヘッジファンド,1
306,大西洋,1
307,ハワイ,1
308,富士山,1
309,森,1
310,ムラ,1
311,チベット,1
312,NIKE,1
313,アルゼンチン,1
314,J,1
315,ナバリヌイ,1
316,Youtuber,1
317,ルイス,1
318,西村,1
319,康,1
320,稔,1
321,尾身,1
322,半沢,1
323,寅,1
324,淡路島,1
325,パソナ,1
326,OK,1
327,TPP,1
328,WTO,1
329,ノモンハン,1
330,沖縄タイムス,1
331,越後湯沢,1
332,三重,1
333,カープ,1
334,G,1
335,雄司,1
336,スターリン,1
337,山手,1
338,古田,1
339,森友,1
340,共産,1
341,apple,1
342,PELOTON,1
343,夏川,1
344,ティエリ・アンリ,1
345,サカ,1
346,Google,1
347,牧島,1
348,カレー,1
349,VC,1
350,インパール,1
351,マジョリティー,1
352,タッパー,1
353,ケヅレーライス,1
354,スコットランド,1
355,上野,1
356,千鶴子,1
357,パイオニア,1
358,田村,1
359,智子,1
360,共産党,1
361,曽,1
362,朝鮮半島,1
363,越山会,1
364,菊田,1
365,真紀子,1
366,安田,1
367,津,1
368,紀,1
369,江,1
370,花子,1
371,ガザ,1
372,マリリン,1
373,モンロー,1
374,ゴルバチョフ,1
375,ナガサキ,1
376,満州,1
377,木村,1
378,NHK,1
379,美智代,1
380,ネタニヤフ,1
381,伊藤,1
382,孝恵,1
383,矢田,1
384,PPAP,1
385,zip,1
386,水戸黄門,1
387,希子,1
388,永平寺,1
389,秋山,1
390,美咲,1
391,西宮,1
392,出雲,1
393,務,1
394,ハノイ,1
395,ジョニー,1
396,横審,1
397,明治,1
398,野原,1
399,ひろし,1
400,石戸,1
401,諭,1
402,ダイソー,1
403,ケニア,1
404,公文,1
405,和子,1
406,ハフポスト,1
407,ww,1
408,養,1
409,蓮如,1
410,一休,1
411,浄土真宗,1
412,みずほ,1
413,ソリ,1
414,茨木,1
415,のり子,1
416,尹東,1
417,柱,1
418,マジメ,1
419,福田,1
420,達夫,1
421,ミラー,1
422,鬼舞,1
423,サンタ,1
424,一乗寺,1
425,宮本,1
426,武蔵,1
427,シン・ザン・シキ,1
428,張,1
429,名古屋大,1
430,明治大,1
431,本州,1
432,セイコーマート,1
433,函館,1
434,蔵元,1
435,開成,1
436,鈴木,1
437,憲和,1
438,アカン,1
439,神宮,1
440,ポーランド,1
441,近鉄,1
442,ネバーギブアップ,1
443,まさ,1
444,名護,1
445,厚,1
446,辻,1
447,五郎,1
448,ピカ,1
449,ドン,1
450,笑,1
451,進,1
452,次郎,1
453,ベラルーシ,1
454,小渕,1
455,鹿島,1
456,アコ,1
457,生月,1
458,飛鳥,1
459,マシ,1
460,薄毛,1
461,英雄,1
462,加賀,1
463,Gucci,1
464,気仙沼,1
465,空也,1
466,嶽,1
467,小倉,1
468,EBPM,1
469,トク,1
470,Authority,1
471,吉原,1
472,OSK,1
473,松塚,1
474,南海,1
475,鮎子,1
476,キワキワ,1
477,T,1
478,政子,1
479,モン,1
480,秋田,1
481,イケ,1
482,クシャ,1
483,マンハッタン,1
484,バチカン,1
485,NIPT,1
486,奥山,1
487,佳恵,1
488,朴,1
489,昭,1
490,パクソヒ,1
491,ソウジ・アライ,1
492,塩崎,1
493,彰久,1
494,札幌,1
495,四条,1
496,大橋,1
497,ウニュ,1
498,隆景,1
499,シメ,1
