,words,出現回数
0,楽屋裏,149
1,記者,71
2,新聞,65
3,前編,42
4,後編,41
5,コロナ,34
6,記事,30
7,メディア,30
8,世界,27
9,時代,27
10,声,26
11,ポッドキャスト,26
12,リスナー,25
13,いち,25
14,見出し,24
15,人,22
16,音声,22
17,ニュース,21
18,ポキ,21
19,未来,20
20,自分,19
21,言葉,19
22,デジタル,18
23,ラジオ,18
24,歴史,17
25,音,17
26,映画,16
27,心,16
28,おし,16
29,ウニュ,16
30,番組,14
31,アナ,13
32,価値,13
33,ひととき,12
34,情報,12
35,教科書,12
36,イベント,11
37,コンテンツ,11
38,キャスト,11
39,本,11
40,子ども,10
41,人生,10
42,チーム,10
43,ビジネス,9
44,社会,9
45,読者,9
46,委員,9
47,人気,9
48,モノ,9
49,バズ,9
50,先生,9
51,思い,8
52,事件,8
53,紙面,8
54,おじさん,8
55,スポーツ,8
56,壁,8
57,ネット,8
58,ー,8
59,ケヅレー,8
60,人間,7
61,海外,7
62,野球,7
63,若手,7
64,月,7
65,姿,7
66,漫画,7
67,吹奏楽,7
68,デスク,7
69,論説,7
70,ゲーム,7
71,紙,7
72,映像,7
73,最後,7
74,動画,7
75,作品,7
76,マンガ,7
77,言語,7
78,メンバー,7
79,手紙,6
80,宇宙,6
81,写真,6
82,和,6
83,耳,6
84,夢,6
85,事業,6
86,世論,6
87,企業,6
88,目,6
89,プラス,6
90,国際,6
91,距離,6
92,美術,6
93,週刊,6
94,オタ,6
95,忘年会,6
96,劇,6
97,懐メロ,6
98,母,5
99,女性,5
100,家族,5
101,暴力,5
102,先,5
103,社員,5
104,現場,5
105,SNS,5
106,若者,5
107,女,5
108,タカラヅカ,5
109,教え,5
110,ファン,5
111,ブーム,5
112,テキスト,5
113,父,5
114,答え,5
115,件,5
116,住職,5
117,テレビ,5
118,道,5
119,ドラマ,5
120,娘,5
121,文化,5
122,業界,5
123,会社,5
124,AI,5
125,思い出,5
126,プロデューサー,5
127,主婦,5
128,力,5
