,words,出現回数
0,日本,18
1,大阪,16
2,ABC,13
3,甲子園,12
4,朝日,12
5,上田,11
6,剛彦,11
7,WEB,10
8,朝日新聞社,10
9,ウニュ,9
10,伊藤,8
11,建,8
12,東京,7
13,大介,7
14,リアル,7
15,平,7
16,朝日新聞,6
17,上出,6
18,遼,6
19,ヨッピー,6
20,中国,5
21,AI,5
22,岸上,5
23,SNS,5
24,イラン,5
25,香,5
26,石戸,5
27,諭,5
28,Temple,5
29,x,5
30,丸谷,5
31,神田,4
32,中島,4
33,晋,4
34,福島,4
35,関西,4
36,沖縄,4
37,昭和,4
38,京都,4
39,Off,4
40,坂本,4
41,龍一,4
42,江向,3
43,羽生,3
44,巨人,3
45,沖縄タイムス,3
46,水野,3
47,明治,3
48,大阪桐蔭,3
49,満州,3
50,広島,3
51,雄平,3
52,渡辺,3
53,えり,3
54,ソウル,3
55,神戸,3
56,樋口,3
57,聖,3
58,典,3
59,モヤ,3
60,津田,3
61,佐々木,3
62,亮,3
63,KON,3
64,ユーミン,3
65,真田,2
66,ブータン,2
67,日,2
68,米,2
69,北朝鮮,2
70,梓,2
71,大津,2
72,Spotify,2
73,奄美,2
74,NMB,2
75,ナンボ,2
76,Google,2
77,大谷,2
78,Z,2
79,安田,2
80,桂子,2
81,金足,2
82,インドネシア,2
83,オトナル,2
84,文春,2
85,MC,2
86,ボン,2
87,マルシェ,2
88,名古屋,2
89,withnews,2
90,豊,2
91,手塚,2
92,治虫,2
93,清水,2
94,生老,2
95,茨城,2
96,あわ,2
97,ロバート,2
98,マイ,2
99,土井,2
100,M,2
101,梅田,2
102,Branco,2
103,ハフポスト,2
104,バービー,2
105,長崎,1
106,コロナ,1
107,ポリコレ,1
108,パンサー,1
109,ムーラン,1
110,東南アジア,1
111,Youtube,1
112,ノモンハン,1
113,ソ連,1
114,スターリン,1
115,山手,1
116,大槌,1
117,加地,1
118,ゆう,1
119,渉,1
120,ゴールデン,1
121,東電,1
122,ムラ,1
123,公明党,1
124,枝野,1
125,金島,1
126,淑華,1
127,ハリウッド,1
128,インパール,1
129,ポッドキャスト,1
130,大野,1
131,由衣,1
132,朝鮮半島,1
133,ケヅレーライス,1
134,イギリス,1
135,照,1
136,富士,1
