,words,出現回数
0,後編,61
1,前編,60
2,女性,20
3,世界,17
4,子ども,16
5,記者,16
6,時代,14
7,動物,13
8,自分,12
9,言葉,12
10,障害,12
11,性,12
12,声,10
13,社会,9
14,人,9
15,SDGs,8
16,男性,8
17,理由,8
18,魚,8
19,夢,8
20,魅力,8
21,食卓,7
22,命,7
23,気,7
24,新聞,7
25,歴史,7
26,核,7
27,工場,6
28,ジェンダー,6
29,妻,6
30,育休,6
31,夫婦,6
32,水産,6
33,異変,6
34,別姓,6
35,道,6
36,気候,6
37,図書館,6
38,農業,6
39,暴力,6
40,企業,5
41,少女,5
42,人生,5
43,海,5
44,町,5
45,壁,5
46,コロナ,5
47,政治,5
48,若者,5
49,家族,5
50,難民,5
51,食,5
52,未来,5
53,学校,5
54,語学,5
55,スポーツ,4
56,酒,4
57,ごみ,4
58,同性,4
59,婚,4
60,犯罪,4
61,夫,4
62,牧場,4
63,リケジョ,4
64,名前,4
65,仲間,4
66,制度,4
67,名,4
68,モスク,4
69,サッカー,4
70,かたち,4
71,現場,4
72,ビジネス,4
73,姿,4
74,SF,4
75,文化,4
76,会社,4
77,火星,4
78,ゲイ,4
79,水,4
80,裏,4
81,リスナー,4
82,音,4
83,心,4
84,刑務所,4
85,牛乳,4
86,黒,4
87,髪,4
88,地域,4
89,事情,4
90,車いす,4
91,隣,4
92,アルコール,4
93,月,3
94,中編,3
95,五輪,3
96,ペット,3
97,人間,3
98,メディア,3
99,弁当,3
100,現実,3
101,花,3
102,理想,3
103,温泉,3
104,AI,3
105,闇,3
106,見た目,3
107,列車,3
108,次,3
109,選手,3
110,伝説,3
111,ナンバー,3
112,地球,3
113,本,3
114,国,3
115,アウティング,3
116,母,3
117,日本人,3
118,個性,3
119,狙い,3
120,生理,3
121,耳,3
122,愛想,3
123,被害,3
124,笑い,3
125,バス,3
126,ミルク,3
127,スタンド,3
128,いち,3
129,地方,3
130,ニュース,3
131,思い,3
132,パンダ,3
133,SOS,3
134,ヒント,3
135,選択肢,3
136,Planet,3
137,同性愛,3
138,カニ,3
139,観音,3
140,方舟,3
141,アカデミー,2
142,野球,2
143,兵役,2
144,歌,2
145,犬,2
146,悲劇,2
147,地獄,2
148,オリンピック,2
149,システム,2
150,女,2
151,日系,2
152,ハラ,2
153,権威,2
154,父親,2
155,家事,2
156,友,2
157,上司,2
158,専門,2
159,鮭,2
160,南,2
161,漁村,2
162,県民,2
163,ハタハタ,2
164,大衆,2
165,ヴィーガン,2
166,質,2
167,使い捨て,2
168,コミュニケーション,2
169,細胞,2
170,手,2
171,構造,2
172,教授,2
173,価値,2
174,もの,2
175,モード,2
176,職場,2
177,勇気,2
178,悩み,2
179,エアコン,2
180,加害,2
181,夜行,2
182,ノスタルジー,2
183,人気,2
184,芸人,2
185,大統領,2
186,熱,2
187,長男,2
188,里親,2
189,親子,2
190,距離,2
191,エシカル,2
192,世代,2
193,内密,2
194,女子,2
195,肉,2
196,パラリンピアン,2
197,球児,2
198,災害,2
199,答え,2
200,アスリート,2
201,入管,2
202,居場所,2
203,技術,2
204,最後,2
205,病院,2
206,葛藤,2
207,民主,2
208,主義,2
209,園児,2
210,実態,2
211,リーダー,2
212,ネコ,2
213,一つ,2
214,荒野,2
215,生皮,2
