,words,出現回数
0,日本,14
1,ベトナム,10
2,SDGs,8
3,リアル,8
4,竹下,6
5,隆一郎,6
6,沖縄,6
7,アメリカ,5
8,井上,4
9,広島,4
10,滋賀,4
11,伊藤,4
12,洋志,4
13,秋田,3
14,米,3
15,ミャンマー,3
16,昭和,3
17,with,3
18,LGBT,2
19,AI,2
20,永田町,2
21,ハリウッド,2
22,森,2
23,東北,2
24,インド,2
25,埼玉,2
26,フィリピン,2
27,Z,2
28,北京,2
29,コツ,2
30,BTS,2
31,南米,2
32,起,2
33,モヤ,2
34,毎日新聞,2
35,アフリカ,2
36,中国,2
37,堀江,2
38,昌史,2
39,京都,2
40,宇治,2
41,野間,2
42,南極,2
43,江北,2
44,韓国,2
45,イミズスタン,2
46,オーストラリア,2
47,朝日新聞,2
48,靖,2
49,長浜,2
50,イスラム,2
51,松田,2
52,理奈,2
53,ハフポスト,1
54,ポリコレ,1
55,パンサー,1
56,瀬戸内海,1
57,リーバイス,1
58,オランダ,1
59,台湾,1
60,ムラ,1
61,アルゼンチン,1
62,ルイス,1
63,三重,1
64,テレ,1
65,東南アジア,1
66,養老,1
67,伊香保,1
68,国連,1
69,根本,1
70,かおる,1
71,津軽,1
72,マタハラ,1
73,タッパー,1
74,ヨーロッパ,1
75,サカ,1
76,OFW,1
77,ベラルーシ,1
78,ボストン,1
79,キリマンジャロ,1
80,ミスコン,1
81,YouTuber,1
82,長野,1
83,智子,1
84,常見,1
85,陽平,1
86,OTAKU,1
87,宏明,1
88,ウクライナ,1
89,阿蘇,1
90,巨人,1
91,田中,1
92,芳樹,1
93,VC,1
94,ドイツ,1
95,ナチス,1
96,共産,1
97,クラ,1
98,ブータン,1
99,ゴールデン,1
100,島根,1
101,大坂,1
102,なおみ,1
103,BLM,1
104,東京,1
105,PFOS,1
106,アデュカヌマブ,1
107,環境省,1
108,富士山,1
109,トヨタ,1
110,寿都,1
111,ジョブズ,1
112,日,1
113,チベット,1
114,ウィーン,1
115,大西洋,1
116,ハワイ,1
117,WTO,1
118,マジョリティー,1
119,ホンネ,1
120,大阪,1
121,あら,1
122,山代温泉,1
123,池,1
124,ヨシ,1
125,上野,1
126,千鶴子,1
127,ウニュ,1
128,ガーナ,1
129,パイオニア,1
130,千葉,1
131,鶴見,1
132,薄毛,1
133,オェッ,1
134,サンタ,1
135,安田,1
136,津,1
137,紀,1
138,ヤクルト,1
139,ウィシュマ,1
140,伊,1
141,馨,1
142,明治,1
143,GAFA,1
144,大正,1
145,白浜,1
146,ビリ,1
147,イラン,1
148,羽生,1
149,GIFT,1
150,スケーター,1
151,モンゴル,1
152,イドコロ,1
153,トー,1
154,ミライテラス,1
155,ユーミン,1
156,大谷,1
157,翔,1
158,WBC,1
159,飯沼,1
160,優,1
161,西海岸,1
162,アツ,1
163,出口,1
164,治,1
165,明,1
166,カス,1
167,アイメッセージ,1
168,川口,1
169,マチ,1
170,岡山,1
171,美咲,1
172,マイ,1
173,宇久島,1
174,影山,1
175,遼,1
176,デンマーク,1
177,北極,1
178,ジョニー,1
179,琵琶湖,1
180,恵,1
181,ケニア,1
182,公文,1
183,和子,1
184,フランス,1
185,タイ,1
186,ローソン,1
187,フィンランド,1
188,ポーランド,1
189,ソリ,1
190,スマ,1
191,SNS,1
192,MC,1
193,モーツァルト,1
194,バッハ,1
195,北海道,1
