omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/9-ny-1,"Thu, 06 Aug 2020 02:06:00 +0000",#1 ニューヨーク　感染爆発、でも9割が対応支持　NY覆う「戦時の空気」,,神田大介,"藤原学思,ニューヨーク支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/9-ny,"Sat, 08 Aug 2020 02:00:00 +0000",#2 ローマ　奔放イタリア、コロナで見せた従順　マフィアのボスも…,,神田大介,"河原田慎一,ローマ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/28bbd9d5-fe0e-4a05-9372-ac0f00342a79,"Sun, 09 Aug 2020 02:00:00 +0000",#3 モスクワ①　医師が事実を訴えると、警察くるロシア　プーチン氏は…,,神田大介,"石橋亮介,モスクワ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/c4b6b21d-f0c6-4bfe-a1ba-ac0f00340718,"Sun, 09 Aug 2020 02:00:00 +0000",#4 モスクワ②　緊急事態宣言、出さないプーチン大統領　抗議もバーチャル,,神田大介,"石橋亮介,モスクワ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/9afa3ecf-29ff-4faa-9bb9-ac0f00345d62,"Sun, 09 Aug 2020 02:01:00 +0000",#5 モスクワ③　実は欧米より制限ゆるかったロシア　日本を見て驚いた,,神田大介,"石橋亮介,モスクワ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/31c79224-3168-409b-bf5c-ac0f00347399,"Mon, 10 Aug 2020 02:00:00 +0000",#6 シンガポール①　ロボット犬がにらんでる　「管理社会」の理詰めコロナ策,,神田大介,"西村宏治,シンガポール支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/sim,"Tue, 11 Aug 2020 02:00:00 +0000",#7 シンガポール②　沈黙の飯場、コロナを拡散　政府はSIMカードを配った,,神田大介,"西村宏治,シンガポール支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/974dd9f9-94c7-428b-94e6-ac0f00343940,"Wed, 12 Aug 2020 02:00:00 +0000",#8 シンガポール③　状況いいのに評価は…　外から見た日本「もったいない」,,神田大介,"西村宏治,シンガポール支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/9-1,"Wed, 19 Aug 2020 01:00:00 +0000",#9 東京オリンピック、本当に開催できる？　「普通に考えたら…」,,神田大介,"稲垣康介,編集委員",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/c8f6bc2a-b2e1-4161-bd6f-ac0f003454e6,"Wed, 19 Aug 2020 23:00:00 +0000",#10 ヨハネスブルク　禁酒、コロナに効果あり？　南アフリカで驚きのデータ,,神田大介,"石原孝,ヨハネスブルク支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/92181ca0-5c64-4348-ba9b-ac0f00346c81,"Thu, 20 Aug 2020 22:00:00 +0000",#11 サンパウロ①　感染爆発ブラジル　スラムで見た「超濃厚接触」の不可避,,神田大介,"岡田玄,サンパウロ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/9d8378c2-fb96-4e4d-8b6d-ac0f00343196,"Fri, 21 Aug 2020 22:00:00 +0000",#12 サンパウロ②　暴走「トロピカル・トランプ」　見え隠れする福音派の影,,神田大介,"岡田玄,サンパウロ支局",,,,いーむ（em_em000）
https://omny.fm/shows/asahi/afd2b7c8-6f35-416d-9960-ac0f0034409f,"Sat, 22 Aug 2020 22:00:00 +0000",#13 あのベネズエラ、コロナでどうなった　水さえ出ない病院,,神田大介,"岡田玄,サンパウロ支局",,,,Sachi
https://omny.fm/shows/asahi/14,"Sun, 23 Aug 2020 22:00:00 +0000",#14 小池都知事①　東京アラート、いったい何だった？,,神田大介,"岡戸佑樹,東京都庁取材キャップ",,,,Sachi
https://omny.fm/shows/asahi/15,"Mon, 24 Aug 2020 22:00:00 +0000",#15 小池都知事②　「東京五輪の延期を待っていて、コロナ対応が遅れた」って本当？,,神田大介,"岡戸佑樹,東京都庁取材キャップ",,,,Sachi
https://omny.fm/shows/asahi/16,"Tue, 25 Aug 2020 22:00:00 +0000",#16 小池都知事③　都知事選圧勝の理由、小池氏にとって「都民ファースト」とは,,神田大介,"岡戸佑樹,東京都庁取材キャップ",,,,Sachi
https://omny.fm/shows/asahi/17,"Wed, 26 Aug 2020 22:00:00 +0000",#17 小池都知事④　会見で皮肉連発、本人も認めていた「粛清人事」,,神田大介,"岡戸佑樹,東京都庁取材キャップ",,,,Sachi
https://omny.fm/shows/asahi/18,"Thu, 27 Aug 2020 22:00:00 +0000",#18 小池都知事⑤　人気ぶり、マスコミの責任は　小池氏は首相を狙うのか,,神田大介,"岡戸佑樹,東京都庁取材キャップ",,,,Sachi
https://omny.fm/shows/asahi/75,"Sat, 29 Aug 2020 22:00:00 +0000",読めなかった夫の日記に刻まれていた苦悩、そして最後の一言　被爆44年後の発病,,神田大介,"東郷隆,広島総局",高橋幸子,,,Sachi、神田大介
https://omny.fm/shows/asahi/19-8000,"Sun, 30 Aug 2020 22:00:00 +0000",#19 「アベノマスク」さらに8000万枚　調査報道が暴いた追加計画の闇,,神田大介,"藤山圭,特別報道部",,,,Sachi
https://omny.fm/shows/asahi/20,"Mon, 31 Aug 2020 22:00:00 +0000",#20 「アベノマスク」契約書、隠されていた事実　しどろもどろの答弁,,神田大介,"藤山圭,特別報道部",,,,Sachi
https://omny.fm/shows/asahi/21,"Tue, 01 Sep 2020 22:00:00 +0000",#21 「アベノマスク」外した安倍首相　なぜ政府はこだわり、あきらめたのか,,神田大介,"藤山圭,特別報道部",,,,Sachi
https://omny.fm/shows/asahi/1000-pcr,"Wed, 02 Sep 2020 22:00:00 +0000",#22 武漢①　1000万人PCR、本当に意味があるのか　武漢の答え,,神田大介,"平井良和,瀋陽支局",,,,Sachi
https://omny.fm/shows/asahi/e5327618-1d8a-403e-a81c-ac0f00346602,"Thu, 03 Sep 2020 22:00:00 +0000",#23 武漢②　戻った日常、戻らない笑顔　コロナ後の中国に残った差別,,神田大介,"平井良和,瀋陽支局",,,,Sachi
https://omny.fm/shows/asahi/88e19b94-a314-47d2-ad94-ac0f00341683,"Fri, 04 Sep 2020 22:00:00 +0000",#24 武漢③　コロナ拡大、止められなかった世界　中国に責任はあるか,,神田大介,"平井良和,瀋陽支局",,,,Sachi
