omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/d08ba6e2-439c-4497-96c1-ac0f0033eeba,"Thu, 06 Aug 2020 02:47:00 +0000",#1 東京オリンピック、本当に開催できる？　「普通に考えたら…」,,神田大介,"稲垣康介,編集委員",,,,bajibu
https://omny.fm/shows/asahi/2-1-75,"Wed, 12 Aug 2020 01:00:00 +0000",#2-1 被爆75年　燃えた誰かの背中、自分を見ると…声で残す被爆者の思い,,神田大介,"武田肇,朝日新聞大阪社会部",片桐安子,,,bajibu
https://omny.fm/shows/asahi/2-2-75,"Thu, 13 Aug 2020 01:00:00 +0000",#2-2 被爆75年　ただ怖く、助ける気持ちは生まれない　講演で語った記憶,,神田大介,"伊藤繭莉,朝日新聞西部報道センター",山口美代子,,,bajibu
https://omny.fm/shows/asahi/af8e73b9-1824-400d-a66b-ac16001ebccc,"Thu, 13 Aug 2020 09:00:00 +0000",#2-3 被爆75年　被爆者の記憶、コンサートで残す　いつも歌った青春を,,神田大介,"伊藤繭莉,朝日新聞西部報道センター",山口美代子,,,bajibu
https://omny.fm/shows/asahi/b24b9ba0-bb09-4a93-acde-ac16001eccfe,"Sat, 15 Aug 2020 02:00:00 +0000",#2-4 被爆75年　私は話す、夫は語らぬ　ノートの問いかけに答えた被爆者,,神田大介,"榎本瑞希,朝日新聞長崎総局",浦部豊子,,,bajibu
https://omny.fm/shows/asahi/2-5-75,"Sun, 16 Aug 2020 02:00:00 +0000",#2-5 被爆75年　手応え、また裏切られた　原発もコロナも何度繰り返す,,神田大介,"黒田壮吉,朝日新聞東京社会部",富田芳子,,,bajibu
https://omny.fm/shows/asahi/2-6-75,"Mon, 17 Aug 2020 02:00:00 +0000",#2-6 被爆75年　原爆が完全に奪った母の視力　亡くなった今、さらに語る,,神田大介,"新垣卓也,朝日新聞大阪社会部",寺田美津枝,,,bajibu
https://omny.fm/shows/asahi/0f109c5e-885b-490a-9152-ac1f00a7cbc6,"Sat, 22 Aug 2020 22:00:00 +0000",#2-7 被爆75年　語り継ぐ人、こんなにいないなんて　75年の長さと短さ,,神田大介,"新垣卓也,朝日新聞大阪社会部",山田英子,,,bajibu
https://omny.fm/shows/asahi/2-7-75-44,"Mon, 24 Aug 2020 02:00:00 +0000",#2-8 被爆75年　「次は自分の番か」　次々と逝く同級生、44年後の発病,,神田大介,"東郷隆,朝日新聞広島総局",高橋幸子,,,bajibu
https://omny.fm/shows/asahi/2-9-75,"Tue, 25 Aug 2020 22:00:00 +0000",#2-9 被爆75年　「私は汚い子なの」覚えてる　結婚するため手帳はとらず,,神田大介,"武田肇,朝日新聞大阪社会部",神戸美和子,,,bajibu
